"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","281","Создать курьера и получить корректный ответ","tests","Sun Feb 23 20:41:30 CET 2025","passed","Sun Feb 23 20:41:30 CET 2025","TestCreateCourier","test_create_courier","",""
"","305","Создать заказ и получить номер заказа","tests","Sun Feb 23 20:41:34 CET 2025","passed","Sun Feb 23 20:41:34 CET 2025","TestCreateOrder","test_create_order","",""
"","274","Создать заказ самоката с разными цветами","tests","Sun Feb 23 20:41:33 CET 2025","passed","Sun Feb 23 20:41:33 CET 2025","TestCreateOrder","test_create_order","",""
"","547","Принять заказ с некорректным id заказа","tests","Sun Feb 23 20:41:28 CET 2025","passed","Sun Feb 23 20:41:28 CET 2025","TestAcceptOrder","test_accept_order","",""
"","333","Создать заказ самоката с разными цветами","tests","Sun Feb 23 20:41:33 CET 2025","passed","Sun Feb 23 20:41:33 CET 2025","TestCreateOrder","test_create_order","",""
"","307","Удалить курьера с несуществующим id","tests","Sun Feb 23 20:41:34 CET 2025","passed","Sun Feb 23 20:41:35 CET 2025","TestDeleteCourier","test_delete_courier","",""
"","260","Создать курьера без логина или пароля","tests","Sun Feb 23 20:41:31 CET 2025","passed","Sun Feb 23 20:41:32 CET 2025","TestCreateCourier","test_create_courier","",""
"","290","Создать заказ самоката с разными цветами","tests","Sun Feb 23 20:41:33 CET 2025","passed","Sun Feb 23 20:41:34 CET 2025","TestCreateOrder","test_create_order","",""
"","566","Принять заказ с некорректным id курьера","tests","Sun Feb 23 20:41:27 CET 2025","passed","Sun Feb 23 20:41:27 CET 2025","TestAcceptOrder","test_accept_order","",""
"","300","Создать курьера c логином, который уже существует в системе","tests","Sun Feb 23 20:41:32 CET 2025","passed","Sun Feb 23 20:41:32 CET 2025","TestCreateCourier","test_create_courier","",""
"","279","Получить заказ по несуществующему id","tests","Sun Feb 23 20:41:37 CET 2025","passed","Sun Feb 23 20:41:37 CET 2025","TestGetOrderById","test_get_order_by_id","",""
"","534","Принять заказ без id курьера","tests","Sun Feb 23 20:41:26 CET 2025","passed","Sun Feb 23 20:41:26 CET 2025","TestAcceptOrder","test_accept_order","",""
"","323","Выполнить логин без логина или пароля","tests","Sun Feb 23 20:41:39 CET 2025","passed","Sun Feb 23 20:41:39 CET 2025","TestLoginCourier","test_order_courier","",""
"","595","Удалить курьера","tests","Sun Feb 23 20:41:35 CET 2025","passed","Sun Feb 23 20:41:36 CET 2025","TestDeleteCourier","test_delete_courier","",""
"","262","Создать курьера без логина или пароля","tests","Sun Feb 23 20:41:31 CET 2025","passed","Sun Feb 23 20:41:31 CET 2025","TestCreateCourier","test_create_courier","",""
"","308","Создать двух одинаковых курьеров","tests","Sun Feb 23 20:41:29 CET 2025","passed","Sun Feb 23 20:41:29 CET 2025","TestCreateCourier","test_create_courier","",""
"","285","Логин возвращает идентификатор курьера","tests","Sun Feb 23 20:41:39 CET 2025","passed","Sun Feb 23 20:41:40 CET 2025","TestLoginCourier","test_order_courier","",""
"","280","Создать заказ самоката с разными цветами","tests","Sun Feb 23 20:41:34 CET 2025","passed","Sun Feb 23 20:41:34 CET 2025","TestCreateOrder","test_create_order","",""
"","297","Выполнить логин без логина или пароля","tests","Sun Feb 23 20:41:38 CET 2025","passed","Sun Feb 23 20:41:39 CET 2025","TestLoginCourier","test_order_courier","",""
"","424","Получить заказы и проверить, что тело ответа возвращает список заказов","tests","Sun Feb 23 20:41:36 CET 2025","passed","Sun Feb 23 20:41:36 CET 2025","TestListOrders","test_get_list_orders","",""
"","311","Выполнить логин с несуществующим логином и паролем","tests","Sun Feb 23 20:41:38 CET 2025","passed","Sun Feb 23 20:41:38 CET 2025","TestLoginCourier","test_order_courier","",""
"","257","Выполнить логин с логином и паролем","tests","Sun Feb 23 20:41:38 CET 2025","passed","Sun Feb 23 20:41:38 CET 2025","TestLoginCourier","test_order_courier","",""
"","573","Получить заказ по его id","tests","Sun Feb 23 20:41:36 CET 2025","passed","Sun Feb 23 20:41:37 CET 2025","TestGetOrderById","test_get_order_by_id","",""
"","263","Получить заказ без его id","tests","Sun Feb 23 20:41:37 CET 2025","passed","Sun Feb 23 20:41:37 CET 2025","TestGetOrderById","test_get_order_by_id","",""
"","313","Удалить курьера без id курьера","tests","Sun Feb 23 20:41:36 CET 2025","passed","Sun Feb 23 20:41:36 CET 2025","TestDeleteCourier","test_delete_courier","",""
